500370339566985216|Zo fijn die #PostNL beloofd eerst tm vanmorgen dat het pakket vanmorgen wordt geleverd vanaf vanmiddag zeggen ze dat t morgen wordt |1|0.091|0.909|0.0|0
411900187649794048|Heel fijn Vast op Dordrecht geen treinverkeer omdat er mensen op het spoor lopen #ns|1|0.114|0.762|0.124|0
175627549802639361|echt geweldig blyk denk dat ik dan maar weer vodafone ofzo ga nemen want das dan toch goedkoper |1|0.186|0.814|0.0|0
321699315707936769|fijn een product hebben dat niet werkt #kpn|1|0.184|0.816|0.0|0
258575794601865217|lekker chatten met een medewerker van tmobile |1|0.327|0.673|0.0|0
175253423917240321|Geweldig als je 3 minuten overstap tijd hebt en gelijk al 10 meter vanuit Centraal 5 minuten vast staat NS wordt weer bedankt|1|0.157|0.766|0.077|1
351090914208387072|Zit ik voor het eerst sinds een jaar in trein krijg ik melding stremming laatste trein UtrechtDen Haag Nice NOT Trutteboel FAIL #NS|1|0.0|1.0|0.0|1
280717336577720320|En gaan we dan ook gelijk eens op tijd rijden 1 week de nieuwe dienstregeling en nog geen 1x mijn bus kunnen halen #bedankt NOT|1|0.0|1.0|0.0|1
485068397504626689|Schande niets geregeld en geen NS er te vinden #lekker verder treintje spelen in Nederland |1|0.097|0.757|0.146|1
309338171072712704|straks ff gsf en ne maken dan eten en dan in engels boekje lezen en para 1 van ns leren leuk #not|1|0.118|0.882|0.0|0
321320642257510401|Het excuusTwitteraccount van de maand heet Sorry excuses helaas het spijt me etc|1|0.0|0.764|0.236|0
456096686923055104|De galaxy van jullie natuurlijk Maar eh ik onderhandel volgende maand wel met #vodafone Iets makkelijker |1|0.25|0.75|0.0|0
403156708261781504|Grote internetstoring gehad bedankt KPN love you #kuch|1|0.266|0.734|0.0|1
438947568111091713|lekker klantvriendelijk die poortjes #not |1|0.405|0.595|0.0|0
355430210474217473|fijn dat er zoveel kennis werkt bij jullie #not door jullie geblunder krijgen wij van jullie een telnr toegewezen|1|0.087|0.913|0.0|0
520444109556035584|Wow de bus is op tijd Mag in de krant #arriva|1|0.257|0.743|0.0|0
